Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
607,6,35,38,117,53,116,18,74,42,109
696,9,44,46,127,51,134,19,81,36,149
610,9,46,38,125,43,134,16,73,31,95
632,12,45,34,114,38,127,16,72,57,117
585,20,41,38,109,35,108,13,60,34,125
581,16,51,47,94,41,102,16,73,35,106
565,11,49,32,78,40,108,15,70,51,112
557,9,53,41,86,42,98,20,67,38,103
498,7,37,31,74,41,99,19,63,36,92
568,7,30,33,81,49,110,18,81,40,119
653,7,31,38,97,65,131,21,99,45,120
606,1,28,36,117,54,108,23,83,37,118
618,3,30,40,105,58,130,25,82,38,107
697,8,40,55,99,56,135,19,84,45,155
633,7,40,58,99,49,149,20,73,52,87
663,13,35,70,101,46,142,20,79,39,116
640,27,33,64,87,48,131,18,68,46,117
579,10,28,57,84,52,121,14,76,21,116
634,15,45,57,88,55,126,17,81,36,115
682,16,41,57,90,60,137,18,78,69,117
592,16,41,48,87,60,110,18,74,33,105
667,8,46,49,98,67,125,19,85,51,118
634,10,33,45,89,74,125,19,98,40,101
746,6,39,49,100,75,138,23,107,62,147
823,7,46,60,119,77,168,23,127,61,134
781,7,52,57,129,76,151,23,105,50,131
845,4,52,66,143,74,181,25,109,58,132
770,15,48,46,124,59,148,28,96,56,150
628,14,47,43,99,53,126,18,83,49,97
754,11,66,44,110,69,141,21,100,54,139
671,10,46,48,98,66,124,20,93,27,139
661,8,44,41,80,69,125,24,91,50,129
664,4,57,40,94,66,122,23,88,30,140
815,5,51,50,104,77,146,25,118,96,143
680,8,46,39,96,71,118,24,114,26,138
762,4,50,43,110,84,131,30,114,67,129
741,7,37,45,118,76,140,24,115,33,145
712,6,37,47,111,75,138,22,98,40,138
780,9,45,56,123,68,152,26,99,67,136
644,7,43,49,102,51,119,18,78,41,136
627,27,43,56,97,50,122,20,69,30,114
734,9,52,53,100,59,124,41,96,57,142
618,5,59,52,95,58,108,20,79,38,105
632,6,50,48,89,57,112,20,84,34,133
733,7,52,54,105,64,124,24,101,67,134
753,7,52,58,101,75,138,23,106,43,149
754,10,45,58,101,76,126,28,108,64,139
800,7,48,66,114,79,138,30,120,47,150
777,14,43,60,117,73,130,27,115,44,154
812,13,46,61,128,65,150,27,116,52,154
762,2,41,55,122,63,166,28,113,44,128
662,8,37,45,105,55,140,22,101,33,117
687,27,40,50,92,56,131,42,95,40,114
740,12,49,51,101,60,132,25,121,51,138
685,9,55,46,97,55,127,51,93,32,121
715,6,47,53,97,63,133,21,99,55,141
738,9,48,54,101,63,145,34,107,53,124
687,5,51,55,90,63,141,21,105,27,127
866,11,47,59,105,80,168,30,121,85,161
861,9,44,63,108,86,178,33,133,45,161
845,3,39,60,126,76,169,33,124,52,163
913,7,50,64,144,72,194,34,138,47,162
851,5,45,70,139,75,184,32,118,29,154
847,11,50,60,137,63,172,42,114,55,143
736,22,50,49,101,57,146,38,110,24,137
721,8,58,55,108,58,133,23,108,43,127
714,5,57,57,101,60,131,23,95,49,134
778,6,49,63,114,65,148,23,103,47,160
712,11,43,44,106,60,136,22,100,41,149
802,8,63,49,110,72,152,25,115,62,145
861,5,49,49,117,92,153,32,122,62,181
812,3,46,39,105,78,149,42,120,78,151
924,6,53,54,140,88,167,31,136,64,185
881,6,50,62,145,86,168,31,123,37,173
810,9,51,53,132,70,149,24,105,73,143
841,9,67,63,131,72,154,28,117,43,158
782,18,56,52,117,61,147,23,86,60,162
804,9,58,57,112,66,142,25,112,48,176
741,6,57,56,113,67,135,25,102,30,148
834,4,57,62,112,74,147,29,114,58,176
719,7,37,49,98,74,122,21,86,75,150
898,6,41,64,125,96,167,33,135,60,172
993,8,53,63,130,106,187,39,154,73,178
946,4,50,59,139,108,167,51,131,53,184
1098,8,50,78,174,109,198,38,164,67,212
1021,9,53,72,169,96,182,36,123,111,171
960,9,48,69,184,91,192,31,106,59,172
1020,13,61,84,185,88,207,43,122,32,185
950,26,52,72,154,79,170,26,122,77,173
878,5,64,72,125,74,165,28,128,43,172
926,4,57,90,138,86,164,29,124,60,173
1004,7,66,83,133,89,177,46,138,67,198
885,8,53,69,130,85,162,27,131,56,163
1036,5,64,80,130,95,190,36,151,90,194
982,11,50,63,124,106,184,37,158,66,182
1055,5,58,67,140,114,185,56,161,56,213
1179,6,67,72,169,120,230,41,168,79,227
1006,6,68,70,179,97,199,34,142,44,167
1220,12,67,74,198,98,227,46,145,135,218
1073,18,58,75,168,92,197,33,148,80,204
953,10,63,70,144,81,202,33,133,37,181
1021,6,80,87,135,89,192,39,154,40,198
1049,4,80,77,124,91,195,44,143,64,226
1060,5,74,74,136,96,200,34,160,75,205
1069,9,60,77,124,104,200,48,153,94,200
1222,5,74,88,143,115,226,43,205,88,235
1131,9,69,64,140,116,211,47,182,81,213
1225,4,65,76,144,137,231,51,197,85,234
