,0,1,2,3,4,5,6,7,8,9
Mar-14,126,959,229,114,1064,244,15,23,98,103
Apr-14,195,832,202,81,859,233,22,23,84,82
May-14,145,886,198,102,892,251,14,23,96,91
Jun-14,125,889,250,63,660,213,25,25,91,86
Jul-14,132,987,148,103,725,214,14,23,107,89
Aug-14,122,954,163,142,606,208,34,29,96,89
Sep-14,139,1004,193,77,554,161,13,23,85,98
Oct-14,115,1202,198,64,416,149,35,25,94,97
Nov-14,126,1204,209,85,488,161,14,25,106,104
Dec-14,200,1225,259,135,738,171,24,31,109,112
Jan-15,124,735,185,139,708,172,12,20,92,101
Feb-15,135,1040,222,173,961,236,24,28,103,95
Mar-15,108,1235,217,115,1020,320,17,26,106,117
Apr-15,200,1063,195,90,923,274,31,25,95,117
May-15,184,1187,191,100,1000,332,17,29,121,138
Jun-15,170,1137,253,74,749,349,24,25,109,144
Jul-15,173,1121,150,89,868,346,17,27,108,153
Aug-15,151,1123,169,164,737,335,29,29,107,159
Sep-15,159,1116,181,94,633,283,27,28,93,172
Oct-15,162,1177,203,98,509,245,36,31,90,185
Nov-15,182,1086,197,110,467,587,31,29,93,201
Dec-15,149,1118,225,150,764,415,16,31,91,197
Jan-16,159,661,187,162,717,270,20,25,90,184
Feb-16,151,932,193,154,694,214,17,31,96,147
Mar-16,183,1016,193,108,674,296,29,26,105,216
Apr-16,183,900,179,94,698,337,18,31,98,194
May-16,155,1020,218,113,662,319,28,26,113,227
Jun-16,170,985,197,85,563,316,17,30,96,186
Jul-16,168,873,154,99,693,341,36,30,90,230
Aug-16,162,843,132,155,618,307,24,31,95,200
Sep-16,83,879,159,96,625,237,39,31,102,203
Oct-16,130,863,182,82,496,303,25,32,87,224
Nov-16,138,1036,205,90,413,487,40,34,89,238
Dec-16,192,1080,209,141,727,726,26,36,113,229
Jan-17,129,663,187,167,1004,530,28,26,94,152
Feb-17,97,872,173,104,945,428,17,29,101,192
Mar-17,130,994,190,94,1019,548,37,27,100,230
Apr-17,134,865,179,96,865,390,31,27,100,234
May-17,134,1063,219,117,1056,498,22,29,109,253
Jun-17,121,1028,216,95,883,415,15,27,111,252
Jul-17,131,1069,182,143,799,522,36,35,100,259
Aug-17,153,1024,158,125,686,438,27,30,114,317
Sep-17,132,1042,168,104,568,380,39,37,99,283
Oct-17,151,1033,217,102,483,341,21,30,97,302
Nov-17,159,1048,220,111,369,376,38,36,112,277
Dec-17,147,1133,236,166,659,233,19,36,93,260
Jan-18,117,706,161,138,604,229,30,26,100,243
Feb-18,135,971,207,180,580,285,14,28,113,172
Mar-18,144,1107,224,116,896,387,19,27,106,293
Apr-18,155,1008,206,102,756,314,25,24,108,253
May-18,166,1246,217,114,794,303,26,26,109,237
Jun-18,130,1216,207,97,741,300,19,29,111,233
Jul-18,127,1181,192,121,703,383,38,28,114,243
Aug-18,159,1261,184,147,502,374,23,41,126,249
Sep-18,143,1196,198,97,465,300,30,44,110,246
Oct-18,181,1201,218,111,277,213,32,41,125,265
Nov-18,180,1200,230,103,266,212,16,40,117,276
Dec-18,188,1312,237,143,742,267,28,39,120,236
Jan-19,155,857,189,166,599,254,14,27,121,241
Feb-19,157,1157,206,135,598,305,24,34,113,205
Mar-19,158,1399,202,116,622,359,16,35,134,310
Apr-19,145,1304,216,96,541,395,25,32,126,270
May-19,197,1317,215,116,714,365,16,31,112,285
Jun-19,167,1371,222,97,366,408,26,33,107,245
Jul-19,172,1373,192,153,422,435,15,30,105,210
Aug-19,168,1401,170,151,380,432,34,42,93,216
Sep-19,181,1405,187,100,450,344,25,41,110,236
Oct-19,169,1563,230,104,378,286,28,37,110,261
Nov-19,215,1652,228,129,319,261,15,41,111,253
Dec-19,242,1663,231,166,502,268,30,42,132,245
Jan-20,164,1133,187,175,683,284,12,33,105,175
Feb-20,183,1420,187,41,509,342,16,35,123,236
Mar-20,176,1460,246,51,640,417,22,39,130,307
Apr-20,171,1282,227,79,689,399,26,35,123,310
May-20,201,1340,198,104,493,384,14,36,126,224
Jun-20,189,1219,252,79,571,352,21,31,119,224
Jul-20,114,1068,181,103,337,339,29,31,96,202
Aug-20,134,1156,202,180,332,367,25,39,95,192
Sep-20,143,973,198,127,344,321,25,39,83,206
Oct-20,183,1209,218,128,295,288,33,44,97,182
Nov-20,115,1202,214,75,377,283,23,42,92,170
Dec-20,176,1243,234,87,1170,351,37,43,121,163
Jan-21,156,738,171,71,1129,394,14,31,127,145
Feb-21,111,992,247,70,1250,375,22,31,97,141
Mar-21,130,1216,264,70,1175,423,20,36,116,149
Apr-21,128,1113,257,76,1201,334,21,34,131,174
May-21,195,1267,225,82,1309,315,19,34,105,195
Jun-21,193,1170,275,95,1285,371,18,34,103,176
Jul-21,126,1338,253,150,1084,467,39,46,102,196
Aug-21,169,1342,194,130,1197,503,33,45,110,176
Sep-21,108,1329,244,111,897,393,47,54,115,169
Oct-21,113,1387,215,114,990,330,26,40,119,187
Nov-21,83,1475,275,110,1068,303,24,45,141,211
Dec-21,134,1434,327,128,1520,304,35,46,158,186
Jan-22,139,956,264,135,1533,439,15,41,136,118
Feb-22,102,1144,298,74,1753,444,25,39,128,132
Mar-22,118,1402,312,61,1576,388,20,38,125,161
Apr-22,102,1314,252,57,1668,419,20,35,118,182
May-22,144,1475,296,71,1653,441,34,42,151,237
Jun-22,128,1628,299,100,1823,426,15,36,137,183
Jul-22,127,1480,256,155,1815,485,37,42,120,187
Aug-22,98,1604,229,99,1836,473,42,58,179,179
Sep-22,97,1411,257,126,1747,461,17,51,160,196
Oct-22,154,1513,307,105,1675,367,35,44,167,211
Nov-22,171,1343,304,107,1497,306,33,46,128,190
Dec-22,138,1330,311,115,2096,378,28,45,170,184
Jan-23,76,939,215,134,2028,375,16,36,108,139
Feb-23,119,1195,239,107,2075,499,14,47,121,163
Mar-23,118,1596,316,96,2543,581,25,39,134,225
Apr-23,110,1432,210,83,2125,475,21,35,174,206
May-23,132,1478,256,92,2260,645,21,38,190,224
Jun-23,110,1582,235,90,1807,486,18,38,122,207
Jul-23,110,1640,241,177,1613,485,25,44,154,215
Aug-23,92,1601,243,130,1396,519,45,45,178,195
Sep-23,84,1577,247,108,1210,532,25,50,136,196
Oct-23,82,1572,256,92,1223,442,36,44,140,187
Nov-23,86,1616,267,101,1068,338,28,38,121,180
Dec-23,117,1570,275,136,1280,514,23,55,159,177
Jan-24,95,1191,204,149,1717,390,22,37,105,134
Feb-24,57,1486,275,122,1430,426,22,40,129,151
Mar-24,113,1789,338,85,1607,606,19,40,177,188
Apr-24,84,1524,257,90,1306,431,19,40,145,190
May-24,100,1802,287,78,1049,421,20,39,128,195
Jun-24,103,1836,302,73,1070,550,22,41,128,199
Jul-24,117,1889,271,137,1059,565,24,45,121,195
Aug-24,92,1921,243,88,896,517,32,53,116,202
Dec-23,117,1570,275,136,1280,514,23,55,159,177
Jan-24,95,1191,204,149,1717,390,22,37,105,134
Feb-24,57,1486,275,122,1430,426,22,40,129,151
Mar-24,113,1789,338,85,1607,606,19,40,177,188
Apr-24,84,1524,257,90,1306,431,19,40,145,190
May-24,100,1802,287,78,1049,421,20,39,128,195
Jun-24,103,1836,302,73,1070,550,22,41,128,199
Jul-24,117,1889,271,137,1059,565,24,45,121,195
Aug-24,92,1921,243,88,896,517,32,53,116,202
