,0,1,2,3,4,5,6,7,8,9,
May-09,8,44,41,80,69,125,24,91,50,129,
Jun-09,4,57,40,94,66,122,23,88,30,140,
Jul-09,5,51,50,104,77,146,25,118,96,143,
Aug-09,8,46,39,96,71,118,24,114,26,138,
Sep-09,4,50,43,110,84,131,30,114,67,129,
Oct-09,7,37,45,118,76,140,24,115,33,145,
Nov-09,6,37,47,111,75,138,22,98,40,138,
Dec-09,9,45,56,123,68,152,26,99,67,136,
Jan-10,7,43,49,102,51,119,18,78,41,136,
Feb-10,27,43,56,97,50,122,20,69,30,114,
Mar-10,9,52,53,100,59,124,41,96,57,142,
Apr-10,5,59,52,95,58,108,20,79,38,105,
May-10,6,50,48,89,57,112,20,84,34,133,
Jun-10,7,52,54,105,64,124,24,101,67,134,
Jul-10,7,52,58,101,75,138,23,106,43,149,
Aug-10,10,45,58,101,76,126,28,108,64,139,
Sep-10,7,48,66,114,79,138,30,120,47,150,
Oct-10,14,43,60,117,73,130,27,115,44,154,
Nov-10,13,46,61,128,65,150,27,116,52,154,
Dec-10,2,41,55,122,63,166,28,113,44,128,
Jan-11,8,37,45,105,55,140,22,101,33,117,
Feb-11,27,40,50,92,56,131,42,95,40,114,
Mar-11,12,49,51,101,60,132,25,121,51,138,
Apr-11,9,55,46,97,55,127,51,93,32,121,
May-11,6,47,53,97,63,133,21,99,55,141,
Jun-11,9,48,54,101,63,145,34,107,53,124,
Jul-11,5,51,55,90,63,141,21,105,27,127,
Aug-11,11,47,59,105,80,168,30,121,85,161,
Sep-11,9,44,63,108,86,178,33,133,45,161,
Oct-11,3,39,60,126,76,169,33,124,52,163,
Nov-11,7,50,64,144,72,194,34,138,47,162,
Dec-11,5,45,70,139,75,184,32,118,29,154,
Jan-12,11,50,60,137,63,172,42,114,55,143,
Feb-12,22,50,49,101,57,146,38,110,24,137,
Mar-12,8,58,55,108,58,133,23,108,43,127,
Apr-12,5,57,57,101,60,131,23,95,49,134,
May-12,6,49,63,114,65,148,23,103,47,160,
Jun-12,11,43,44,106,60,136,22,100,41,149,
Jul-12,8,63,49,110,72,152,25,115,62,145,
Aug-12,5,49,49,117,92,153,32,122,62,181,
Sep-12,3,46,39,105,78,149,42,120,78,151,
Oct-12,6,53,54,140,88,167,31,136,64,185,
Nov-12,6,50,62,145,86,168,31,123,37,173,
Dec-12,9,51,53,132,70,149,24,105,73,143,
Jan-13,9,67,63,131,72,154,28,117,43,158,
Feb-13,18,56,52,117,61,147,23,86,60,162,
Mar-13,9,58,57,112,66,142,25,112,48,176,
Apr-13,6,57,56,113,67,135,25,102,30,148,
May-13,4,57,62,112,74,147,29,114,58,176,
Jun-13,7,37,49,98,74,122,21,86,75,150,
Jul-13,6,41,64,125,96,167,33,135,60,172,
Aug-13,8,53,63,130,106,187,39,154,73,178,
Sep-13,4,50,59,139,108,167,51,131,53,184,
Oct-13,8,50,78,174,109,198,38,164,67,212,
Nov-13,9,53,72,169,96,182,36,123,111,171,
Dec-13,9,48,69,184,91,192,31,106,59,172,
Jan-14,13,61,84,185,88,207,43,122,32,185,
Feb-14,26,52,72,154,79,170,26,122,77,173,
Mar-14,5,64,72,125,74,165,28,128,43,172,
Apr-14,4,57,90,138,86,164,29,124,60,173,
May-14,7,66,83,133,89,177,46,138,67,198,
Jun-14,8,53,69,130,85,162,27,131,56,163,
Jul-14,5,64,80,130,95,190,36,151,90,194,
Aug-14,11,50,63,124,106,184,37,158,66,182,
Sep-14,5,58,67,140,114,185,56,161,56,213,
Oct-14,6,67,72,169,120,230,41,168,79,227,
Nov-14,6,68,70,179,97,199,34,142,44,167,
Dec-14,12,67,74,198,98,227,46,145,135,218,
Jan-15,18,58,75,168,92,197,33,148,80,204,
Feb-15,10,63,70,144,81,202,33,133,37,181,
Mar-15,6,80,87,135,89,192,39,154,40,198,
Apr-15,4,80,77,124,91,195,44,143,64,226,
May-15,5,74,74,136,96,200,34,160,75,205,
Jun-15,9,60,77,124,104,200,48,153,94,200,
Jul-15,5,74,88,143,115,226,43,205,88,235,
Aug-15,9,69,64,140,116,211,47,182,81,213,
Sep-15,4,65,76,144,137,231,51,197,85,234,
Oct-15,6,66,90,161,126,231,48,209,73,251,
Nov-15,11,65,80,180,112,218,41,189,60,265,
Dec-15,12,56,97,173,112,232,52,178,80,244,
Jan-16,19,59,87,145,95,208,34,155,44,202,
Feb-16,12,67,84,156,97,212,39,146,90,260,
Mar-16,8,69,92,137,105,209,35,168,72,235,
Apr-16,8,71,82,133,97,186,36,163,54,247,
May-16,8,64,76,140,99,214,31,165,87,247,
Jun-16,7,70,92,146,109,210,34,156,64,252,
Jul-16,9,61,88,137,102,210,33,167,98,253,
Aug-16,5,72,85,154,116,233,42,172,88,237,
Sep-16,9,59,86,152,119,223,58,175,110,259,
Oct-16,9,56,94,169,117,210,43,167,62,251,
Nov-16,10,75,109,193,109,244,42,170,89,235,
Dec-16,17,57,100,190,100,242,56,171,61,230,
Jan-17,18,75,117,171,99,231,37,154,72,223,
Feb-17,30,67,104,135,84,198,32,136,78,200,
Mar-17,9,96,111,156,99,232,38,185,56,249,
Apr-17,9,67,97,136,91,186,30,141,73,217,
May-17,12,71,105,157,99,227,35,169,77,123,
Jun-17,11,60,111,154,105,217,39,170,115,252,
Jul-17,7,59,94,144,116,205,39,168,78,271,
Aug-17,11,69,108,154,132,239,42,206,75,148,
Sep-17,7,62,97,152,128,225,45,195,80,119,
Oct-17,6,59,109,177,127,230,43,175,89,277,
Nov-17,15,74,137,209,116,252,43,182,52,294,
Dec-17,20,74,131,205,113,242,37,176,94,220,
Jan-18,18,74,134,185,107,220,38,145,89,235,
Feb-18,22,66,121,164,98,201,33,141,81,216,
Mar-18,13,79,128,138,103,213,40,152,71,217,
Apr-18,12,80,110,145,101,172,30,137,93,197,
May-18,10,70,120,162,121,217,40,171,58,255,
Jun-18,10,64,126,144,116,201,41,166,91,229,
Jul-18,10,56,93,156,125,225,37,183,69,204,
Aug-18,10,65,122,172,149,239,48,219,107,232,
Sep-18,17,54,101,166,137,227,45,180,93,261,
Oct-18,8,66,120,200,155,264,45,196,116,319,
Nov-18,32,72,135,199,141,235,46,179,137,307,
Dec-18,6,76,110,182,126,233,40,162,95,298,
Jan-19,28,93,130,187,137,263,46,187,113,279,
Feb-19,18,74,117,162,113,214,35,157,65,267,
Mar-19,10,87,114,141,114,211,37,159,123,298,
Apr-19,3,81,116,160,127,218,40,170,58,273,
May-19,13,97,128,173,147,228,38,177,106,340,
Jun-19,10,83,105,151,169,200,33,163,130,295,
Jul-19,13,85,135,170,177,236,41,200,61,328,
Aug-19,13,83,106,164,194,230,41,189,117,324,
Sep-19,9,71,107,161,181,243,44,182,119,305,
Oct-19,8,97,137,200,205,278,48,206,99,352,
Nov-19,12,91,139,186,179,252,41,175,99,312,
Dec-19,8,87,143,179,173,233,41,166,148,305,
Jan-20,20,99,158,182,169,252,43,180,95,289,
Feb-20,18,88,133,143,127,227,35,158,107,280,
Mar-20,8,101,147,150,174,249,39,195,147,331,
Apr-20,0,88,144,160,176,280,49,167,123,344,
May-20,2,61,139,137,177,249,37,154,106,317,
Jun-20,18,59,142,137,198,247,35,193,142,346,
Jul-20,19,47,116,150,218,244,36,187,112,376,
Aug-20,21,55,102,142,183,230,41,194,120,325,
Sep-20,8,67,109,138,177,242,42,182,79,301,
Oct-20,12,81,130,175,162,282,45,207,107,320,
Nov-20,16,81,130,173,166,277,41,199,126,309,
Dec-20,15,78,139,195,161,328,46,192,91,286,
Jan-21,13,69,123,179,131,254,36,169,81,271,
Feb-21,17,66,117,167,127,255,39,163,122,258,
Mar-21,10,84,123,171,153,259,37,190,102,329,
Apr-21,5,75,113,163,137,207,33,163,100,277,
May-21,6,76,114,146,136,210,38,171,112,294,
Jun-21,10,84,121,141,129,208,36,173,99,306,
Jul-21,14,89,126,135,147,225,41,175,107,274,
Aug-21,16,87,115,138,157,231,50,214,101,335,
Sep-21,6,90,113,140,157,235,49,183,90,279,
Oct-21,11,86,118,128,142,239,44,189,77,270,
Nov-21,30,84,135,172,158,253,46,193,125,329,
Dec-21,18,76,120,194,153,261,42,181,104,313,
Jan-22,20,69,124,176,138,249,40,196,106,294,
Feb-22,19,84,117,180,133,242,41,169,106,323,
Mar-22,22,97,147,188,171,280,46,203,115,344,
Apr-22,10,86,127,174,144,209,43,191,139,317,
May-22,10,109,164,205,180,252,43,222,149,353,
Jun-22,9,83,127,181,158,225,44,208,148,318,
Jul-22,8,79,129,189,153,255,43,208,115,316,
Aug-22,14,97,146,237,195,292,56,259,153,382,
Sep-22,10,91,178,218,197,290,57,245,169,391,
Oct-22,11,107,168,229,181,284,54,240,112,372,
Nov-22,12,93,187,255,190,307,49,209,186,350,
Dec-22,22,75,195,217,171,278,49,216,162,303,
Jan-23,27,84,200,211,163,273,51,236,95,335,
Feb-23,52,55,154,159,135,241,37,172,97,262,
Mar-23,16,85,202,193,164,289,50,228,122,342,
Apr-23,6,85,194,166,156,250,45,187,101,340,
May-23,11,109,190,185,179,296,55,231,134,383,
Jun-23,11,94,160,170,175,301,47,209,102,329,
Jul-23,7,84,166,166,175,265,53,210,183,317,
Aug-23,13,94,145,181,218,316,62,247,127,366,
Sep-23,14,84,138,173,188,293,51,221,83,303,
Oct-23,12,91,166,222,213,287,55,235,186,391,
Nov-23,27,77,175,223,203,280,54,214,101,353,
Dec-23,16,93,144,181,167,275,51,192,107,314,
Jan-24,25,82,142,213,180,318,52,207,140,318,
Feb-24,37,92,155,202,180,303,52,224,109,358,
Mar-24,15,113,172,186,198,318,55,240,142,387,
Apr-24,7,107,150,195,188,317,54,240,128,369,
May-24,8,123,170,188,210,350,55,278,127,412,
Jun-24,17,94,144,172,191,284,50,216,112,335,
Jul-24,6,112,181,206,234,318,60,277,134,375,
Aug-24,12,112,138,190,231,331,60,276,129,398,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
